	moduleColor	GS.Subtypes_num	p.GS.Subtypes_num	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.grey	p.MM.grey	MM.turquoise	p.MM.turquoise
CIDEA|1149	turquoise	-0.13197044202566	0.0592635047567094	-0.761105635307214	5.00962311118812e-40	0.478403895344955	4.02187631590257e-13	-0.231056119593637	0.000858499571901024	0.904221068653872	6.04126106399562e-77
CCDC68|80323	turquoise	-0.131913639786017	0.0593739117390108	-0.553881114214809	7.04238651957467e-18	0.39756853377473	3.5777083535456e-09	-0.0485791939045061	0.4891234570335	0.658386375614279	7.55738749800628e-27
CPA1|1357	turquoise	-0.1318721072253	0.0594547460961729	-0.86697152286585	2.56927094368415e-63	0.583898686534167	3.96601215320255e-20	-0.218765934880319	0.00162512392263572	0.946216502738331	1.92840649433641e-101
MEIS2|4212	turquoise	0.131751360933766	0.059690268173749	-0.716692870614999	1.30549876731409e-33	0.786916734039855	1.93544947412876e-44	-0.162524556544772	0.0198977765479994	0.777388705854906	9.65157535919066e-43
MAPK10|5602	turquoise	0.131642950219504	0.0599023830263424	-0.634606361075164	1.673952455014e-24	0.337319879177958	7.58001267086672e-07	-0.119010158678215	0.0892076257678651	0.715163820308696	2.06384914021811e-33
GPC3|2719	turquoise	-0.130492674939813	0.0621914435254848	-0.737668945184251	1.76985715330739e-36	0.508648897708937	6.8920371353287e-15	-0.0933047041144947	0.183302254070841	0.824918784127227	3.42997584512666e-52
SRL|6345	turquoise	-0.130244837887792	0.0626939314300697	-0.722750196200032	2.06418534750488e-34	0.480161047820933	3.21003637622193e-13	-0.146300380919907	0.0363339899017866	0.816921404638756	2.06423487152705e-50
MARCH4|57574	turquoise	-0.130109823885929	0.0629690704971046	0.682581295694679	1.83390583409523e-29	-0.586849547210752	2.31499811482138e-20	0.178414838911897	0.0104834775843701	-0.68072981532385	2.96738382674082e-29
PKDCC|91461	turquoise	-0.129306123874722	0.064627467162571	-0.67794566049161	6.07814652895579e-29	0.297404010677915	1.48749083481945e-05	-0.247050576101717	0.000355468406753855	0.820364514806322	3.62661879338133e-51
AQP7P1|375719	turquoise	-0.129147133677334	0.064959737811643	-0.820307968986775	3.73280885262961e-51	0.513467267363843	3.4717790232643e-15	-0.247998324272457	0.000336748462590148	0.937502555479072	5.13457540343048e-95
CADM3|57863	turquoise	-0.129035370031028	0.0651941468259415	-0.65734619386925	9.66950677912947e-27	0.601242944712452	1.54614835547819e-21	-0.175955952165262	0.0116152904270359	0.801342778205661	3.49372918559921e-47
SOX7|83595	turquoise	-0.128826692240735	0.0656336734219736	-0.712068299668237	5.16859048549984e-33	0.556132415387081	4.86202058098577e-18	-0.144755007692541	0.0383753809254511	0.830277575733989	1.95653305815298e-53
SOBP|55084	turquoise	-0.128241062529644	0.0668801175983725	-0.765970292467292	8.16178849456802e-41	0.642713589808238	2.80144338626943e-25	-0.216291489394449	0.0018404391740245	0.857861786405712	1.31369583143146e-60
PALM2-AKAP2|445815	turquoise	-0.128161870957598	0.0670501427042158	-0.784838315980984	4.61841813889281e-44	0.503766022748437	1.36578556328166e-14	-0.191327190353829	0.0059946991820055	0.941675025301067	5.72325403441154e-98
TMEM35|59353	turquoise	-0.126561198131096	0.0705631796807734	-0.617046578246894	6.73922405823083e-23	0.423922080035746	2.39265474288058e-10	-0.171905087462922	0.0137154289712846	0.729116643896718	2.81568606736867e-35
CRTAC1|55118	turquoise	0.126551628827601	0.0705846237860089	-0.681146735608038	2.66345732882054e-29	0.750587896482079	2.19242985019127e-38	-0.225919738901765	0.00112551532203447	0.686696485427966	6.21260138310377e-30
C21orf34|388815	turquoise	-0.126480132650385	0.0707450094193864	-0.808899115827746	1.03364285094893e-48	0.745154482282778	1.43543675923039e-37	-0.175959509705377	0.0116135780723277	0.833296747085428	3.72717241897325e-54
MOSC1|64757	turquoise	0.126295203025523	0.0711612339104377	-0.616854078211269	7.0088512383706e-23	0.262119430463204	0.000146677370381959	-0.157779000283826	0.0238579666538625	0.777716419773313	8.46455422272348e-43
C10orf128|170371	turquoise	-0.126079363879278	0.0716495446814039	-0.727585431478288	4.56983666406105e-35	0.551010688036547	1.12491873168966e-17	-0.197030791054826	0.00463139503258943	0.883515812207242	8.63631425983059e-69
MAOB|4129	turquoise	-0.12560958555912	0.0727217854911605	-0.565733661517023	9.69998297945501e-19	0.508409121244579	7.1292620595422e-15	0.0233199469121288	0.739969062229357	0.621324436939039	2.79871370150807e-23
MYO16|23026	turquoise	-0.125240447483156	0.0735734361864906	-0.59783763999063	2.96928743672771e-21	0.264330417162767	0.000128228396031356	-0.158763402734351	0.0229848415445228	0.738397229642088	1.39136344645821e-36
CCDC78|124093	turquoise	-0.124913277113989	0.0743350128258505	0.595409769925232	4.70609260408848e-21	-0.407093196497906	1.38284471180478e-09	0.159156274317934	0.0226441503181678	-0.64500841427516	1.67249368101816e-25
PAFAH1B3|5050	turquoise	-0.124784654623147	0.0746361617154439	0.817901166984628	1.26320389157569e-50	-0.416192101426103	5.42098520770309e-10	0.281419361039418	4.35873770494751e-05	-0.867452554551825	1.82491490786884e-63
DEFB1|1672	turquoise	0.124154026043004	0.0761270230613004	-0.55077056353493	1.16962941140932e-17	0.674878345502022	1.32707208734916e-28	-0.177134293486231	0.0110601330669919	0.636965525967172	1.00048932296546e-24
FIGF|2277	turquoise	-0.12409241365312	0.0762739640550724	-0.855542437676658	5.99897879912129e-60	0.74520064389158	1.41298731076446e-37	-0.212980496918621	0.00216924826079979	0.925255341126915	2.11345532310683e-87
APCDD1|147495	turquoise	-0.12394114082611	0.0766357126356844	-0.745821444333539	1.14269272537455e-37	0.652655285516061	2.90318641747988e-26	-0.201063532132807	0.00384300690985273	0.835030763280203	1.41657848833839e-54
PDE3B|5140	turquoise	0.123760255665492	0.0770700965086149	-0.624252775829882	1.52160961206108e-23	0.287061561112366	3.00438358479046e-05	-0.224246345074687	0.00122775848257426	0.822391802612493	1.27998081412897e-51
